Sort_Code,Survey Year,Year4,ID,GID_Compatible_ID,State Code,Type Code,Name,Total Expenditure,Total IG Expenditure,Direct Expenditure,Total Current Expend,Total Current Oper,Total Capital Outlays,Total Construction,Contract Construction Only,Total Other Cap Outlay,Land & Exst Structures,Total Equipment Only,Tot Assist & Subsidies,Total Interest on Debt,Total Insur Trust Ben,Total Salaries & Wages (Z00),General Expenditure,IG Exp-To Local Govts,IG Exp-To Locals NEC,IG Exp-To Gen Purp Gov,IG Exp-To Cities,IG Exp-To Towns,IG Exp-To School Dist,IG Exp-To Special Dist,IG Exp-To Federal Govt,Direct General Expend,General Current Expend,General Current Oper,General Capital Outlay,General Construction,General Other Cap Out,General Equipment Only,General Assist & Subsidies,General Interest on Debt,Fin Admin & Gen Control-Total Exp,Fin Admin & Gen Control-Total IG Exp,Fin Admin & Gen Control-Direct Exp,Fin Admin & Gen Control-Current Oper,Fin Admin & Gen Control-Cap Outlay,Public Safety-Total Exp,Public Safety-Total IG Exp,Public Safety-Direct Exp,Public Safety-Current Oper,Public Safety-Cap Outlay,Oth NonHwy Trans-Total Exp,Oth NonHwy Trans-Total IG Exp,Oth NonHwy Trans-Direct Exp,Air Trans-Total Expend,Air Trans-Total IG Exp,Air Trans-Direct Expend,Air Trans-Current Oper (E01),Air Trans-Cap Outlay,Misc Com Activ-Tot Exp,Misc Com Activ-Cur Op (E03),Misc Com Activ-Cap Out,Total Correct-Tot Exp,Total Correct-Tot IG,Total Correct-Dir Exp,Total Correct-Cur Oper,Total Correct-Cap Out,Correct-Ins-Total Exp,Correct-Ins-Tot IG Exp,Correct-Ins-Direct Exp,Correct-Ins-Cur Oper (E04),Correct-Ins-Cap Outlay,Correct-NEC-Total Exp,Correct-NEC-Tot IG Exp,Correct-NEC-Direct Exp,Correct-NEC-Cur Oper (E05),Correct-NEC-Cap Outlay,Total Educ-Total Exp,Total Educ-IG Exp,Total Educ-Direct Exp,Total Educ-Cur Oper,Total Educ-Assist & Sub,Total Educ-Cap Outlay,Elem Educ-Total Exp,Elem Educ-Tot IG Exp,Elem Educ-Direct Exp,Elem Educ-Current Oper (E12),Elem Educ-Cap Outlay,Total High Ed-Tot Exp,Total High Ed-Tot IG Exp,Total High Ed-Dir Exp,Total High Ed-Cur Oper,Total High Ed-Cap Out,Total High Ed-Construction,High Ed-Aux-Total Exp,High Ed-Aux-Cur Oper (E16),High Ed-Aux-Cap Outlay,High Ed-NEC-Total Exp,High Ed-NEC-Tot IG Exp,High Ed-NEC-Direct Exp,High Ed-NEC-Cur Oper (E18),High Ed-NEC-Cap Outlay,Total Other Education,Educational Assistance (E19),Educ-NEC-Total Expend,Educ-NEC-Total IG Exp,Educ-NEC-Direct Expend,Educ-NEC-Current Oper (E21),Educ-NEC-Cap Outlay,Emp Sec Adm-Total Exp,Emp Sec Adm-Cur Oper (E22),Emp Sec Adm-Cap Outlay,Fin Admin-Total Exp,Fin Admin-Total IG,Fin Admin-Direct Exp,Fin Admin-Current Oper (E23),Fin Admin-Cap Outlay,Judicial-Total Expend,Judicial-Total IG Exp,Judicial-Direct Expend,Judicial-Current Oper (E25),Judicial-Cap Outlay,Legislative-Total Exp,Legislative-Cur Oper (E26),Legislative-Cap Outlay,Cen Staff-Total Expend,Cen Staff-Total IG Exp,Cen Staff-Direct Exp,Cen Staff-Current Oper (E29),Cen Staff-Cap Outlay,General Sup-Total IG,Gen Pub Bldg-Total Exp,Gen Pub Bldg-Cur Oper (E31),Gen Pub Bldg-Cap Out,Health & Hosp-Tot Exp,Health & Hosp-Tot IG,Health & Hosp-Dir Exp,Health & Hosp-Cur Oper,Health & Hosp-Cap Out,Health-Total Expend,Health-Total IG Expend,Health-Direct Expend,Health-Current Oper (E32),Health-Capital Outlay,Exhibit: Health Regulation,Exhibit: Other Health,Total Hospital-Tot Exp,Total Hospital-Total IG Exp,Total Hospital-Dir Exp,Total Hospital-Cur Op,Total Hospital-Cap Out,Own Hospital-Total Exp,Own Hospital-Cur Oper,Own Hospital-Cur Oper-Mental Hosp,Own Hospital-Cur Oper-Mental Hosp-Reg (E33),Own Hospital-Cur Oper-Mental Hosp-Oth (E34),Own Hospital-Cur Oper-General Hosp (E35),Own Hospital-Cur Oper-Other Own Hosp (E36),Own Hospital-Cap Out,Hosp-Other-Total Exp,Hosp-Other-Total IG,Hosp-Other-Direct Exp,Hosp-Other-Cur Oper (E38),Hosp-Other-Cap Outlay,Total Highways-Tot Exp,Total Highways-Tot-IG,Total Highways-Dir Exp,Total Highways-Cur Op,Total Highways-Cap Out,Total Highways-Construct,Total Highways-Other Cap,Regular Hwy-Total Exp,Regular Hwy-Total IG,Regular Hwy-Direct Exp,Regular Hwy-Cur Oper (E44),Regular Hwy-Cap Outlay,Regular Hwy-Construct (F44),Regular Hwy-Other Cap (G44),Toll Hwy-Total Expend,Toll Hwy-Current Oper (E45),Toll Hwy-Cap Outlay,Toll Hwy-Construction (F45),Toll Hwy-Other Cap Out (G45),Transit Sub-Total Exp,Transit Sub-Total IG,Transit Sub-Direct Sub (E47)
10333.0,94,1994.0,27-2,27000000000000,27,2,MT STATE GOVT,2777675,675772,2101903,2498620,1298898,279055,245023,0,34032,2307,31725,72219,100846,350885,452796,2393009,675772,21321,128855,0,0,525596,0,0,1717237,2113954,1265117,279055,245023,34032,31725,72219,100846,127400,4458,122942,119482,3460,67134,7330,59804,56687,3117,0,0,0,862,222,640,605,35,2202,2202,0,40586,0,40586,39089,1497,29771,0,29771,28341,1430,10815,0,10815,10748,67,895905,525596,370309,322124,23319,24866,521385,521385,0,0,0,287701,4211,283490,259869,23621,10864,40647,39622,1025,247054,4211,242843,220247,22596,86819,23319,63500,0,63500,62255,1245,8667,8627,40,74917,1443,73474,70745,2729,39133,3015,36118,35747,371,7427,7184,243,5923,0,5923,5806,117,40500,873,612,261,139276,18470,120806,119957,849,108807,18470,90337,89821,516,0,0,30469,0,30469,30136,333,30469,30136,0,0,0,0,0,333,0,0,0,0,0,301859,16787,285072,80811,204261,198913,5348,301859,16787,285072,80811,204261,198913,5348,0,0,0,0,0,2186,2186,0
10334.0,94,1994.0,28-2,28000000000000,28,2,NE STATE GOVT,3990927,1087419,2903508,3578821,2183143,412106,339986,0,72120,10525,61595,96971,107186,104102,899423,3886825,1080148,227899,159478,0,0,673840,18931,7271,2799406,3474719,2183143,412106,339986,72120,61595,96971,107186,103725,0,103725,102144,1581,118092,6109,111983,105469,6514,0,0,0,18005,14969,3036,2302,734,0,0,0,79018,0,79018,76400,2618,44493,0,44493,43262,1231,34525,0,34525,33138,1387,1353593,678732,674861,603121,28081,43659,639138,639138,0,0,0,635182,34702,600480,557826,42654,12837,99821,91845,7976,535361,34702,500659,465981,34678,79273,28081,51192,4892,46300,45295,1005,25703,24772,931,54737,0,54737,53938,799,30591,0,30591,30146,445,10732,10440,292,7665,0,7665,7620,45,83592,2959,2734,225,411257,95469,315788,296542,19246,160238,95469,64769,63774,995,0,0,251019,0,251019,232768,18251,251019,232768,0,0,0,0,0,18251,0,0,0,0,0,517242,127686,389556,67141,322415,310319,12096,517242,127686,389556,67141,322415,310319,12096,0,0,0,0,0,2385,2385,0
10007.0,0,2000.0,06-2,06000000000000,6,2,CO STATE GOVT,13929779,3702849,10226930,12677580,7177865,1252199,1030339,0,221860,77657,144203,106117,256577,1434172,2542977,12485324,3699365,0,1328041,0,0,2341271,30053,3484,8782475,11233252,7173024,1252072,1030212,221860,144203,106117,251262,363239,2351,360888,348504,12384,768238,91864,676374,560234,116140,0,0,0,9978,8770,1208,1189,19,0,0,0,689090,89888,599202,490178,109024,447913,0,447913,342946,104967,241177,89888,151289,147232,4057,4959104,2342249,2616855,2201413,106117,309325,2324744,2323428,1316,1316,0,2426788,17843,2408945,2105889,303056,211520,393684,309621,84063,2033104,17843,2015261,1796268,218993,207572,106117,101455,978,100477,94208,6269,38260,37802,458,144583,0,144583,139747,4836,180271,0,180271,174329,5942,18934,18384,550,19451,2351,17100,16044,1056,34648,4996,532,4464,457442,37289,420153,414975,5178,308387,35190,273197,270853,2344,0,0,149055,2099,146956,144122,2834,135824,132990,0,0,0,0,0,2834,13231,2099,11132,11132,0,1243410,280771,962639,248583,714056,662041,52015,1243410,280771,962639,248583,714056,662041,52015,0,0,0,0,0,0,0,0
10008.0,0,2000.0,07-2,07000000000000,7,2,CT STATE GOVT,16723201,3362551,13360650,15791566,9188363,931635,733286,0,198349,30551,167798,489619,1089071,1661962,2822922,14855976,3362551,253514,3085983,0,0,23054,0,0,11493425,14005551,9064310,850425,656739,193686,165648,489619,1089071,887374,0,887374,856213,31161,695559,1648,693911,673464,20447,0,0,0,25547,0,25547,22847,2700,0,0,0,555449,1544,553905,538078,15827,496953,0,496953,481758,15195,58496,1544,56952,56320,632,3862053,2357887,1504166,1316640,107838,79688,2357768,2357768,0,0,0,1195717,0,1195717,1142668,53049,369,117167,116030,1137,1078550,0,1078550,1026638,51912,308568,107838,200730,119,200611,173972,26639,94585,93099,1486,416116,0,416116,414773,1343,397448,0,397448,369396,28052,45089,43751,1338,28721,0,28721,28293,428,180493,4128,184,3944,1626801,154189,1472612,1459633,12979,500735,154189,346546,338256,8290,0,0,1126066,0,1126066,1121377,4689,1126066,1121377,0,0,0,0,0,4689,0,0,0,0,0,785908,34900,751008,201642,549366,514775,34591,781913,34900,747013,197647,549366,514775,34591,3995,3995,0,0,0,21967,0,21967
10009.0,0,2000.0,08-2,08000000000000,8,2,DE STATE GOVT,4210656,856008,3354648,3776598,2387521,434058,318844,0,115214,44000,71214,67654,218280,247135,957682,3912687,855032,0,155837,0,0,699195,0,976,3056679,3488030,2346088,424657,318844,105813,61813,67654,218280,210277,12972,197305,192174,5131,293678,2611,291067,279283,11784,0,0,0,0,0,0,0,0,0,0,0,228076,0,228076,220895,7181,160200,0,160200,159528,672,67876,0,67876,61367,6509,1409475,699562,709913,619482,46276,44155,699195,699195,0,0,0,554220,0,554220,511987,42233,18727,69706,61462,8244,484514,0,484514,450525,33989,156060,46276,109784,367,109417,107495,1922,12289,11986,303,76634,7799,68835,66418,2417,88800,5173,83627,82455,1172,9429,9332,97,35414,0,35414,33969,1445,0,90591,27666,62925,277988,12530,265458,262821,2637,215020,12530,202490,200296,2194,0,0,62968,0,62968,62525,443,62968,62525,0,0,0,0,0,443,0,0,0,0,0,332300,8427,323873,81247,242626,227795,14831,320239,8427,311812,69362,242450,227619,14831,12061,11885,176,176,0,66895,66895,0
10010.0,0,2000.0,10-2,10000000000000,10,2,FL STATE GOVT,45207930,14073445,31134485,41262859,22629549,3945071,2655756,0,1289315,794825,494490,817114,1075902,2666849,8048281,42485698,14073445,0,3866550,0,0,10206895,0,0,28412253,38564653,22598192,3921045,2635862,1285183,490598,817114,1075902,1765680,31763,1733917,1673865,60052,2588540,4030,2584510,2453574,130936,0,0,0,106685,106685,0,0,0,0,0,0,2218703,1591,2217112,2111015,106097,1504961,0,1504961,1451714,53247,713742,1591,712151,659301,52850,14360657,10206895,4153762,3180519,542116,431127,9579027,9579027,0,0,0,3831186,627868,3203318,2810137,393181,241393,368991,318145,50846,3462195,627868,2834327,2491992,342335,950444,542116,408328,0,408328,370382,37946,5660,5632,28,764887,6499,758388,731676,26712,701519,24736,676783,660333,16450,137234,126843,10391,162040,528,161512,155013,6499,2650892,137519,63159,74360,3289305,17506,3271799,3145421,126378,2678698,17356,2661342,2542970,118372,0,0,610607,150,610457,602451,8006,610457,602451,0,0,0,0,0,8006,150,150,0,0,0,3811104,268201,3542903,1078440,2464463,1992866,471597,3136989,268201,2868788,839337,2029451,1650609,378842,674115,239103,435012,342257,92755,147327,147327,0
10029.0,0,2000.0,29-2,29000000000000,29,2,NV STATE GOVT,6047267,2250330,3796937,5453796,2400480,593471,515384,0,78087,9072,69015,46071,123661,633254,962349,5369012,2244058,1538,816353,0,0,1426167,0,6272,3118682,4785116,2368789,583896,505916,77980,68908,46071,119926,147214,832,146382,143302,3080,278613,3145,275468,231583,43885,0,0,0,0,0,0,0,0,0,0,0,220695,3129,217566,181347,36219,186694,0,186694,151108,35586,34001,3129,30872,30239,633,2137608,1426167,711441,658762,21411,31268,1426167,1426167,0,0,0,656557,0,656557,625971,30586,13448,91240,74973,16267,565317,0,565317,550998,14319,54884,21411,33473,0,33473,32791,682,35015,33867,1148,65720,0,65720,64328,1392,43769,832,42937,42179,758,24754,24128,626,12971,0,12971,12667,304,686589,5951,0,5951,202887,9013,193874,190602,3272,112244,9013,103231,101276,1955,0,0,90643,0,90643,89326,1317,90643,89326,0,0,0,0,0,1317,0,0,0,0,0,583135,57101,526034,81646,444388,417331,27057,583135,57101,526034,81646,444388,417331,27057,0,0,0,0,0,0,0,0
10030.0,0,2000.0,30-2,30000000000000,30,2,NH STATE GOVT,4366072,1053267,3312805,4079900,2396938,286172,200802,0,85370,25919,59451,87317,309874,232504,640311,3884463,1053267,870735,181522,0,0,288,722,0,2831196,3599715,2149257,284748,200681,84067,58148,87317,309874,173057,7124,165933,160555,5378,124726,1380,123346,98804,24542,0,0,0,10441,9879,562,536,26,0,0,0,85522,578,84944,67802,17142,70792,0,70792,54135,16657,14730,578,14152,13667,485,1337352,805539,531813,444720,43428,43665,806018,805539,479,469,10,464297,0,464297,423536,40761,23247,96788,87537,9251,367509,0,367509,335999,31510,67037,43428,23609,0,23609,20715,2894,21630,20540,1090,72910,0,72910,69216,3694,83040,6835,76205,74869,1336,10119,9912,207,6988,289,6699,6558,141,53397,3168,2048,1120,176202,24743,151459,140616,10843,132710,24743,107967,98210,9757,0,0,43492,0,43492,42406,1086,43492,42406,0,0,0,0,0,1086,0,0,0,0,0,351812,23933,327879,157726,170153,137554,32599,328899,23933,304966,139031,165935,133896,32039,22913,18695,4218,3658,560,2276,0,2276
10025.0,0,2000.0,25-2,25000000000000,25,2,MS STATE GOVT,10972174,3248019,7724155,9992046,5615302,980128,806632,0,173496,42792,130704,156596,182474,789655,1563960,10049045,3248019,32791,1223895,0,0,1991333,0,0,6801026,9068917,5481828,980128,806632,173496,130704,156596,182474,159867,0,159867,156099,3768,325532,16566,308966,292745,16221,0,0,0,0,0,0,0,0,0,0,0,256750,14802,241948,233026,8922,215864,0,215864,207504,8360,40886,14802,26084,25522,562,3475688,2007998,1467690,1152387,140273,175030,1810477,1810477,0,0,0,1348242,197045,1151197,1013228,137969,98068,137109,134404,2705,1211133,197045,1014088,878824,135264,316969,140273,176696,476,176220,139159,37061,51905,51677,228,64272,0,64272,62239,2033,63405,0,63405,62139,1266,18493,18234,259,13697,0,13697,13487,210,619995,63091,8834,54257,890311,41089,849222,813069,36153,291496,41089,250407,237655,12752,0,0,598815,0,598815,575414,23401,598815,575414,0,0,0,0,0,23401,0,0,0,0,0,964873,189212,775661,196812,578849,522526,56323,964873,189212,775661,196812,578849,522526,56323,0,0,0,0,0,0,0,0
10026.0,0,2000.0,26-2,26000000000000,26,2,MO STATE GOVT,17293111,4528746,12764365,15835435,8816971,1457676,1143431,0,314245,61055,253190,490406,543457,1455855,2927113,15837256,4526388,310111,534874,0,0,3666672,14731,2358,11308510,14379580,8816971,1457676,1143431,314245,253190,490406,543457,472606,49216,423390,404793,18597,688268,49862,638406,540196,98210,0,0,0,10256,10256,0,0,0,0,0,0,529451,15616,513835,430089,83746,431921,0,431921,348714,83207,97530,15616,81914,81375,539,5949860,3666672,2283188,1880084,167430,235674,3480735,3480735,0,0,0,2001786,185937,1815849,1595302,220547,129252,281530,213826,67704,1720256,185937,1534319,1381476,152843,467339,167430,299909,0,299909,284782,15127,53599,52760,839,217159,16398,200761,189285,11476,211464,32818,178646,172538,6108,29467,28673,794,14516,0,14516,14297,219,5740,39477,33697,5780,1184158,29762,1154396,1092703,61693,591534,29352,562182,542288,19894,0,0,592624,410,592214,550415,41799,592214,550415,0,0,0,0,0,41799,410,410,0,0,0,1491193,232321,1258872,332981,925891,837002,88889,1491193,232321,1258872,332981,925891,837002,88889,0,0,0,0,0,30375,30375,0
