,mean,min,max,SD
Total Base,0.09,-0.17,0.755,0.188
Total Assets,0.131,-0.12,0.92,0.214
PCEPI,0.023,0.006,0.053,0.004
Currency in Circulation,0.068,-0.022,0.156,0.022
Reserves at Fed,0.13,-1.085,4.572,1.02
Effective Federal Funds Rate (%),3.533,0.049,11.637,1.65
Unemployment Rate,5.932,3.5,14.7,2.119
$U_N$,5.146,4.432,6.076,0.159
$\pi_{1e}$,2.664,-0.481,5.692,0.621
Currency in Circulation / Total Base,0.001,-0.029,0.043,0.005
Inflation Loss,-1.977,-1.994,-1.947,0.004
Unemployment Loss,0.787,-1.415,10.199,2.108
Inflation Loss Sq,-3.91,-3.975,-3.792,0.016
Unemployment Loss Sq,2.987,-2.001,104.011,12.094
Loss Function,-6.919,-107.975,-1.931,12.103
